Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-12-16T19:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 10,Dec 11,Dec 12,Dec 13,Dec 14,,
Volume,,
Futures,"276,925","429,675","577,482","1,010,797","333,657",,
Options,"15,933","9,083","9,542","14,747","13,122",,
TOTAL,"292,858","438,758","587,024","1,025,544","346,779",,
Value ($'000),,
Futures,"118,080,058","160,653,050","183,761,807","207,963,209","132,984,750",,
Options,"1,725,431","928,994","1,005,897","1,539,088","1,359,918",,
TOTAL,"119,805,489","161,582,044","184,767,704","209,502,296","134,344,669",,
Spot Month Movement:,,
SPI 200,4567.0,4580.0,4596.0,4590.0,4560.0,,
90 Day Bank Bills,96.900,96.910,96.900,96.900,96.900,,
6% 3 Year C'wlth Bonds,97.370,97.395,97.320,97.260,97.400,,
6% 10 Year C'wlth Bonds,96.935,96.955,96.860,96.775,96.960,,
,
