Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-10-10T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 5,Oct 6,Oct 7,Oct 8,Oct 9,,
Volume,,
Futures,"279,001","388,792","396,376","464,522","393,433",,
Options,"2,845","7,126","5,177","3,299","4,214",,
TOTAL,"281,846","395,918","401,553","467,821","397,647",,
Value ($'000),,
Futures,"119,836,233","263,201,577","169,836,002","205,523,676","161,522,091",,
Options,"285,071","717,013","531,112","361,571","469,336",,
TOTAL,"120,121,303","263,918,590","170,367,114","205,885,247","161,991,426",,
Spot Month Movement:,,
SPI 200,5141.0,5169.0,5190.0,5194.0,5267.0,,
90 Day Bank Bills,98.000,97.950,97.930,97.940,97.930,,
6% 3 Yr C'wlth Bonds,98.270,98.210,98.180,98.200,98.140,,
6% 10 Yr C'wlth Bonds,97.4200,97.3650,97.3400,97.3500,97.2650,,
,
