Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-04-01T16:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,,
Volume,,
Futures,"244,220","307,776","330,279","453,983","378,512",,
Options,"9,860","16,602","11,046","14,367","41,927",,
TOTAL,"254,080","324,378","341,325","468,350","420,439",,
Value ($'000),,
Futures,"89,489,442","116,196,721","138,150,065","265,140,322","187,065,039",,
Options,"1,025,450","1,754,185","1,227,270","1,521,635","4,238,118",,
TOTAL,"90,514,892","117,950,906","139,377,335","266,661,957","191,303,157",,
Spot Month Movement:,,
SPI 200,4272.0,4328.0,4355.0,4340.0,4345.0,,
90 Day Bank Bills,95.770,95.770,95.810,95.890,95.930,,
6% 3 Year C'wlth Bonds,96.330,96.320,96.410,96.510,96.550,,
6% 10 Year C'wlth Bonds,95.765,95.775,95.860,95.950,95.970,,
,
