Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-05-13T17:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 7,May 8,May 9,May 10,May 11,,
Volume,,
Futures,"443,139","315,770","411,295","625,687","377,867",,
Options,"17,518","14,461","34,278","24,871","18,854",,
TOTAL,"460,657","330,231","445,573","650,558","396,721",,
Value ($'000),,
Futures,"231,032,733","118,778,927","169,756,558","324,477,715","126,605,698",,
Options,"1,575,976","1,479,859","3,470,659","2,325,929","1,641,850",,
TOTAL,"232,608,709","120,258,786","173,227,217","326,803,643","128,247,548",,
Spot Month Movement:,,
SPI 200,4290.0,4299.0,4280.0,4301.0,4285.0,,
90 Day Bank Bills,96.390,96.380,96.380,96.300,96.310,,
6% 3 Year C'wlth Bonds,97.320,97.280,97.340,97.300,97.360,,
6% 10 Year C'wlth Bonds,96.650,96.640,96.690,96.710,96.760,,
,
