Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2012-01-02T19:00:17+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 22,Dec 23,Dec 28,Dec 29,Dec 30,,
Volume,,
Futures,"152,114","88,789","84,855","118,233","93,745",,
Options,"4,845",467,563,81,513,,
TOTAL,"156,959","89,256","85,418","118,314","94,258",,
Value ($'000),,
Futures,"63,170,292","66,822,783","43,655,149","44,984,146","55,790,563",,
Options,"497,856","48,192","57,274","8,132","51,509",,
TOTAL,"63,668,148","66,870,975","43,712,423","44,992,278","55,842,072",,
Spot Month Movement:,,
SPI 200,4083.0,4131.0,4066.0,4035.0,4019.0,,
90 Day Bank Bills,96.180,96.120,96.040,96.100,96.080,,
6% 3 Year C'wlth Bonds,96.950,96.930,96.850,96.900,96.930,,
6% 10 Year C'wlth Bonds,96.205,96.215,96.180,96.245,96.280,,
,
