Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-12-02T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 26,Nov 27,Nov 28,Nov 29,Nov 30,,
Volume,,
Futures,"234,287","339,051","281,658","365,675","466,985",,
Options,"7,918","12,338","9,997","17,714","15,020",,
TOTAL,"242,205","351,389","291,655","383,389","482,005",,
Value ($'000),,
Futures,"100,975,120","142,175,529","125,553,033","192,153,679","250,949,941",,
Options,"811,160","1,243,574","1,034,274","1,842,911","1,562,419",,
TOTAL,"101,786,281","143,419,104","126,587,307","193,996,590","252,512,360",,
Spot Month Movement:,,
SPI 200,4432.0,4473.0,4451.0,4489.0,4516.0,,
90 Day Bank Bills,96.780,96.770,96.790,96.820,96.860,,
6% 3 Year C'wlth Bonds,97.290,97.270,97.340,97.330,97.390,,
6% 10 Year C'wlth Bonds,96.815,96.790,96.865,96.860,96.920,,
,
