Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-01-08T17:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 30,Jan 3,Jan 4,Jan 5,Jan 6,,
Volume,,
Futures,"93,745","141,243","231,729","222,078","193,473",,
Options,513,479,"3,777","3,528","4,347",,
TOTAL,"94,258","141,722","235,506","225,606","197,820",,
Value ($'000),,
Futures,"55,790,563","73,678,872","86,003,002","81,210,547","70,268,645",,
Options,"51,509","58,774","378,362","414,290","475,140",,
TOTAL,"55,842,072","73,737,646","86,381,364","81,624,837","70,743,785",,
Spot Month Movement:,,
SPI 200,4019.0,4071.0,4160.0,4135.0,4080.0,,
90 Day Bank Bills,96.080,95.960,95.930,95.920,95.960,,
6% 3 Year C'wlth Bonds,96.930,96.770,96.780,96.810,96.840,,
6% 10 Year C'wlth Bonds,96.280,96.110,96.145,96.155,96.145,,
,
