Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-03-14T13:45:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 9,Mar 10,Mar 11,Mar 12,Mar 13,,
Volume,,
Futures,"514,648","601,228","1,501,984","2,273,583","969,617",,
Options,"12,610","3,714","17,905","17,001","5,273",,
TOTAL,"527,258","604,942","1,519,889","2,290,584","974,890",,
Value ($'000),,
Futures,"198,424,441","190,120,578","293,942,688","465,940,056","178,997,611",,
Options,"1,382,864","378,704","1,952,180","1,763,217","640,842",,
TOTAL,"199,807,305","190,499,283","295,894,869","467,703,273","179,638,453",,
Spot Month Movement:,,
SPI 200,5815.0,5810.0,5786.0,5846.0,5812.0,,
90 Day Bank Bills,97.650,97.650,97.670,97.690,97.690,,
6% 3 Year C'wlth Bonds,98.020,98.050,98.120,98.165,98.115,,
6% 10 Year C'wlth Bonds,97.3050,97.3650,97.4500,97.5250,97.4900,,
,
