Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-07-15T16:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 9,Jul 10,Jul 11,Jul 12,Jul 13,,
Volume,,
Futures,"244,028","230,290","219,554","364,476","325,745",,
Options,"5,225","13,189","24,580","10,695","44,609",,
TOTAL,"249,253","243,479","244,134","375,171","370,354",,
Value ($'000),,
Futures,"102,250,122","93,272,528","75,340,583","182,359,994","128,467,417",,
Options,"535,162","1,229,257","3,808,237","1,079,527","5,320,222",,
TOTAL,"102,785,284","94,501,784","79,148,820","183,439,521","133,787,639",,
Spot Month Movement:,,
SPI 200,4090.0,4065.0,4064.0,4038.0,4049.0,,
90 Day Bank Bills,96.690,96.680,96.660,96.750,96.750,,
6% 3 Year C'wlth Bonds,97.700,97.710,97.700,97.840,97.830,,
6% 10 Year C'wlth Bonds,97.100,97.110,97.110,97.220,97.215,,
,
