Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-02-07T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,,
Volume,,
Futures,"531,165","812,338","667,689","563,395","526,312",,
Options,"9,889","15,530","20,010","15,849","10,235",,
TOTAL,"541,054","827,868","687,699","579,244","536,547",,
Value ($'000),,
Futures,"334,340,482","484,796,211","240,913,696","202,937,918","240,754,534",,
Options,"1,079,230","1,607,003","2,175,958","1,782,696","1,016,450",,
TOTAL,"335,419,712","486,403,214","243,089,654","204,720,613","241,770,984",,
Spot Month Movement:,,
SPI 200,5571.0,5643.0,5726.0,5755.0,5752.0,,
90 Day Bank Bills,97.610,97.740,97.670,97.680,97.670,,
6% 3 Year C'wlth Bonds,98.060,98.220,98.100,98.140,98.100,,
6% 10 Year C'wlth Bonds,97.5900,97.7500,97.5650,97.6300,97.5800,,
,
