Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-10-02T16:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,,
Volume,,
Futures,"271,984","303,430","322,143","239,269","275,403",,
Options,"3,528","15,339","16,034","4,721","6,064",,
TOTAL,"275,512","318,769","338,177","243,990","281,467",,
Value ($'000),,
Futures,"113,667,561","119,268,261","98,829,028","80,695,614","109,806,713",,
Options,"351,685","1,534,724","1,618,758","478,501","606,132",,
TOTAL,"114,019,246","120,802,985","100,447,786","81,174,115","110,412,845",,
Spot Month Movement:,,
SPI 200,3879.0,4033.0,4063.0,4006.0,4000.0,,
90 Day Bank Bills,95.830,95.700,95.680,95.710,95.710,,
6% 3 Year C'wlth Bonds,96.590,96.420,96.350,96.370,96.390,,
6% 10 Year C'wlth Bonds,95.970,95.785,95.695,95.720,95.765,,
,
