Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-19T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 13,Aug 14,Aug 15,Aug 16,Aug 17,,
Volume,,
Futures,"243,170","241,867","314,504","429,161","265,842",,
Options,"9,125","11,857","9,793","19,758","19,407",,
TOTAL,"252,295","253,724","324,297","448,919","285,249",,
Value ($'000),,
Futures,"87,701,643","146,537,570","135,319,990","152,232,368","95,981,564",,
Options,"911,552","1,187,626","998,514","1,978,863","1,956,969",,
TOTAL,"88,613,195","147,725,196","136,318,504","154,211,231","97,938,533",,
Spot Month Movement:,,
SPI 200,4250.0,4256.0,4246.0,4283.0,4330.0,,
90 Day Bank Bills,96.480,96.440,96.430,96.410,96.430,,
6% 3 Year C'wlth Bonds,97.320,97.270,97.210,97.140,97.150,,
6% 10 Year C'wlth Bonds,96.825,96.785,96.725,96.605,96.620,,
,
