Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-05-29T16:30:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 23,May 24,May 25,May 26,May 27,,
Volume,,
Futures,"402,080","445,780","374,403","389,654","297,372",,
Options,"8,438","26,181","30,648","16,979","16,342",,
TOTAL,"410,518","471,961","405,051","406,633","313,714",,
Value ($'000),,
Futures,"245,458,763","253,931,249","179,189,007","194,255,021","161,065,300",,
Options,"846,824","2,683,257","3,187,228","1,806,572","1,670,103",,
TOTAL,"246,305,588","256,614,506","182,376,234","196,061,593","162,735,402",,
Spot Month Movement:,,
SPI 200,4647.0,4630.0,4589.0,4669.0,4690.0,,
90 Day Bank Bills,95.000,94.990,95.000,94.990,94.990,,
6% 3 Year C'wlth Bonds,95.070,95.070,95.090,95.040,95.080,,
6% 10 Year C'wlth Bonds,94.735,94.720,94.745,94.720,94.775,,
,
