Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-09-20T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 15,Sep 16,Sep 17,Sep 18,Sep 19,,
Volume,,
Futures,"610,515","605,348","552,824","489,279","342,325",,
Options,"5,518","8,394","7,197","10,173","5,611",,
TOTAL,"616,033","613,742","560,021","499,452","347,936",,
Value ($'000),,
Futures,"131,083,552","166,547,288","131,735,495","153,340,126","96,849,083",,
Options,"650,231","960,701","832,926","1,139,023","657,409",,
TOTAL,"131,733,782","167,507,989","132,568,421","154,479,149","97,506,491",,
Spot Month Movement:,,
SPI 200,5473.0,5442.0,5402.0,5421.0,5421.1,,
90 Day Bank Bills,97.360,97.360,97.360,97.350,97.340,,
6% 3 Year C'wlth Bonds,97.145,97.140,97.120,97.060,97.050,,
6% 10 Year C'wlth Bonds,96.355,96.345,96.320,96.260,96.235,,
,
