Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-10-03T13:15:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 28,Sep 29,Sep 30,Oct 1,Oct 2,,
Volume,,
Futures,"241,111","345,453","506,899","345,085","289,419",,
Options,"1,130","5,257","10,445","3,702","4,775",,
TOTAL,"242,241","350,710","517,344","348,787","294,194",,
Value ($'000),,
Futures,"75,857,235","152,308,143","213,023,761","166,232,238","122,983,669",,
Options,"113,830","613,488","1,132,775","384,157","482,030",,
TOTAL,"75,971,065","152,921,631","214,156,536","166,616,395","123,465,699",,
Spot Month Movement:,,
SPI 200,5106.0,4884.0,5007.0,5081.0,5031.0,,
90 Day Bank Bills,97.930,97.960,97.970,97.960,97.950,,
6% 3 Yr C'wlth Bonds,98.130,98.230,98.220,98.200,98.190,,
6% 10 Yr C'wlth Bonds,97.2800,97.3850,97.3650,97.3500,97.3500,,
,
