Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-01-20T20:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,,
Volume,,
Futures,"190,342","296,413","333,684","449,569","382,672",,
Options,"6,060","10,592","15,247","22,784","13,907",,
TOTAL,"196,402","307,005","348,931","472,353","396,579",,
Value ($'000),,
Futures,"66,814,392","115,879,897","125,308,205","207,347,730","160,902,866",,
Options,"607,008","1,069,125","1,559,268","2,320,389","1,410,689",,
TOTAL,"67,421,400","116,949,022","126,867,474","209,668,119","162,313,555",,
Spot Month Movement:,,
SPI 200,4689.0,4692.0,4705.0,4721.0,4740.0,,
90 Day Bank Bills,97.070,97.080,97.100,97.140,97.100,,
6% 3 Year C'wlth Bonds,97.160,97.190,97.240,97.310,97.200,,
6% 10 Year C'wlth Bonds,96.560,96.580,96.665,96.735,96.615,,
,
