Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-05-12T20:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 6,May 7,May 8,May 9,May 10,,
Volume,,
Futures,"389,883","464,164","574,936","483,551","550,007",,
Options,"29,838","25,595","16,744","28,766","18,903",,
TOTAL,"419,721","489,759","591,680","512,317","568,910",,
Value ($'000),,
Futures,"246,580,487","417,176,082","315,066,522","273,417,393","236,741,262",,
Options,"3,002,198","2,563,081","1,718,454","2,931,442","1,902,019",,
TOTAL,"249,582,685","419,739,162","316,784,976","276,348,835","238,643,281",,
Spot Month Movement:,,
SPI 200,5153.0,5134.0,5192.0,5194.0,5207.0,,
90 Day Bank Bills,97.240,97.320,97.340,97.290,97.260,,
6% 3 Year C'wlth Bonds,97.440,97.520,97.500,97.440,97.370,,
6% 10 Year C'wlth Bonds,96.880,96.930,96.875,96.845,96.765,,
,
