Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-01-24T13:45:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 19,Jan 20,Jan 21,Jan 22,Jan 23,,
Volume,,
Futures,"328,149","339,811","390,638","562,178","376,525",,
Options,"4,038","4,829","11,332","10,251","9,857",,
TOTAL,"332,187","344,640","401,970","572,429","386,382",,
Value ($'000),,
Futures,"144,701,582","189,832,077","177,015,803","319,795,097","146,225,785",,
Options,"409,860","499,205","1,192,785","1,062,194","1,060,401",,
TOTAL,"145,111,442","190,331,282","178,208,588","320,857,291","147,286,186",,
Spot Month Movement:,,
SPI 200,5265.0,5258.0,5343.0,5363.0,5446.0,,
90 Day Bank Bills,97.360,97.380,97.410,97.470,97.490,,
6% 3 Year C'wlth Bonds,97.910,97.880,97.920,97.950,97.930,,
6% 10 Year C'wlth Bonds,97.4100,97.3750,97.4450,97.4400,97.4050,,
,
