Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-07-24T16:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,,
Volume,,
Futures,"417,854","453,204","455,232","460,372","403,435",,
Options,"9,324","21,696","28,408","28,688","19,060",,
TOTAL,"427,178","474,900","483,640","489,060","422,495",,
Value ($'000),,
Futures,"200,988,564","208,715,391","225,453,814","205,000,683","171,311,598",,
Options,"939,481","2,194,919","2,874,718","2,956,840","1,958,700",,
TOTAL,"201,928,045","210,910,311","228,328,532","207,957,523","173,270,298",,
Spot Month Movement:,,
SPI 200,4447.0,4441.0,4525.0,4534.0,4587.0,,
90 Day Bank Bills,95.300,95.250,95.200,95.190,95.160,,
6% 3 Year C'wlth Bonds,95.690,95.680,95.600,95.590,95.540,,
6% 10 Year C'wlth Bonds,95.100,95.105,95.035,95.040,95.025,,
,
