Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-01-29T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,,
Volume,,
Futures,"182,573","227,174","412,313",Closed,"192,962",,
Options,"10,768","8,031","7,477",–,"5,336",,
TOTAL,"193,341","235,205","419,790",–,"198,298",,
Value ($'000),,
Futures,"61,473,234","90,353,132","250,788,607",–,"57,994,207",,
Options,"1,095,582","918,480","759,430",–,"538,500",,
TOTAL,"62,568,816","91,271,612","251,548,038",–,"58,532,707",,
Spot Month Movement:,,
SPI 200,4192.0,4192.0,4239.0,–,4250.0,,
90 Day Bank Bills,95.860,95.870,95.790,–,95.850,,
6% 3 Year C'wlth Bonds,96.740,96.750,96.620,–,96.750,,
6% 10 Year C'wlth Bonds,96.080,96.055,95.950,–,96.125,,
,
