Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2012-05-19T20:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 14,May 15,May 16,May 17,May 18,,
Volume,,
Futures,"315,280","345,976","388,046","400,846","656,246",,
Options,"15,573","16,876","23,658","36,400","18,143",,
TOTAL,"330,853","362,852","411,704","437,246","674,389",,
Value ($'000),,
Futures,"132,646,782","166,929,718","168,171,328","171,826,661","327,786,459",,
Options,"1,591,665","1,553,002","2,344,632","3,701,553","1,825,428",,
TOTAL,"134,238,447","168,482,719","170,515,960","175,528,214","329,611,887",,
Spot Month Movement:,,
SPI 200,4297.0,4273.0,4159.0,4160.0,4058.0,,
90 Day Bank Bills,96.310,96.320,96.360,96.370,96.610,,
6% 3 Year C'wlth Bonds,97.390,97.400,97.440,97.390,97.630,,
6% 10 Year C'wlth Bonds,96.765,96.790,96.820,96.785,96.970,,
,
