Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-06-19T16:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 10,Jun 14,Jun 15,Jun 16,Jun 17,,
Volume,,
Futures,"1,323,761","1,156,196","689,820","790,485","532,193",,
Options,"20,056","5,520","14,397","24,890","26,742",,
TOTAL,"1,343,817","1,161,716","704,217","815,375","558,935",,
Value ($'000),,
Futures,"337,853,378","256,343,844","284,075,752","571,759,376","362,120,393",,
Options,"2,071,114","553,026","1,456,367","5,402,973","2,689,681",,
TOTAL,"339,924,492","256,896,870","285,532,120","577,162,349","364,810,074",,
Spot Month Movement:,,
SPI 200,4577.0,4586.0,4570.0,4518.0,4517.9,,
90 Day Bank Bills,95.020,95.030,94.990,95.090,95.060,,
6% 3 Year C'wlth Bonds,95.205,95.195,95.135,95.310,95.300,,
6% 10 Year C'wlth Bonds,94.825,94.805,94.755,94.915,94.875,,
,
