Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-08-31T15:30:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 26,Aug 27,Aug 28,Aug 29,Aug 30,,
Volume,,
Futures,"260,498","306,916","343,934","279,319","285,416",,
Options,"7,571","7,316","11,327","15,736","13,243",,
TOTAL,"268,069","314,232","355,261","295,055","298,659",,
Value ($'000),,
Futures,"122,525,892","113,989,853","136,809,697","96,596,238","97,827,685",,
Options,"768,615","770,838","1,199,324","1,606,135","1,281,891",,
TOTAL,"123,294,507","114,760,691","138,009,021","98,202,373","99,109,576",,
Spot Month Movement:,,
SPI 200,5126.0,5123.0,5068.0,5076.0,5118.0,,
90 Day Bank Bills,97.440,97.450,97.440,97.440,97.450,,
6% 3 Year C'wlth Bonds,97.160,97.220,97.240,97.230,97.250,,
6% 10 Year C'wlth Bonds,95.985,96.065,96.100,96.090,96.105,,
,
