Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-12-19T17:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 13,Dec 14,Dec 15,Dec 16,Dec 17,,
Volume,,
Futures,"1,137,916","1,050,348","514,190","182,479","193,582",,
Options,"6,722","13,540","6,752","5,526","4,788",,
TOTAL,"1,144,638","1,063,888","520,942","188,005","198,370",,
Value ($'000),,
Futures,"230,467,422","170,744,317","110,919,012","60,654,801","60,567,508",,
Options,"706,829","1,389,736","761,292","556,954","495,571",,
TOTAL,"231,174,251","172,134,052","111,680,304","61,211,755","61,063,079",,
Spot Month Movement:,,
SPI 200,4760.0,4778.0,4770.0,4762.0,4761.6,,
90 Day Bank Bills,94.880,94.900,94.910,94.910,94.920,,
6% 3 Year C'wlth Bonds,94.735,94.775,94.740,94.670,94.700,,
6% 10 Year C'wlth Bonds,94.305,94.360,94.300,94.300,94.365,,
,
