Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-23T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,,
Volume,,
Futures,"322,903","246,478","442,434","473,043","243,434",,
Options,"10,615","9,241","23,182","28,971","6,499",,
TOTAL,"333,518","255,719","465,616","502,014","249,933",,
Value ($'000),,
Futures,"140,866,386","82,185,561","181,428,660","184,441,465","77,032,880",,
Options,"1,091,911","979,847","2,394,223","3,200,176","749,869",,
TOTAL,"141,958,297","83,165,408","183,822,882","187,641,642","77,782,749",,
Spot Month Movement:,,
SPI 200,5529.0,5583.0,5606.0,5605.0,5609.0,,
90 Day Bank Bills,97.380,97.380,97.380,97.380,97.380,,
6% 3 Year C'wlth Bonds,97.430,97.400,97.370,97.320,97.300,,
6% 10 Year C'wlth Bonds,96.665,96.605,96.585,96.530,96.530,,
,
