Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-11-09T15:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 4,Nov 5,Nov 6,Nov 7,Nov 8,,
Volume,,
Futures,"439,724","437,277","430,488","436,072","377,111",,
Options,"10,831","28,763","12,699","21,869","13,618",,
TOTAL,"450,555","466,040","443,187","457,941","390,729",,
Value ($'000),,
Futures,"210,161,300","327,405,611","176,275,847","185,789,182","143,112,848",,
Options,"1,110,045","2,943,592","1,328,157","2,211,307","1,382,696",,
TOTAL,"211,271,344","330,349,204","177,604,005","188,000,489","144,495,544",,
Spot Month Movement:,,
SPI 200,5380.0,5417.0,5418.0,5429.0,5409.0,,
90 Day Bank Bills,97.410,97.400,97.400,97.410,97.410,,
6% 3 Year C'wlth Bonds,96.840,96.850,96.810,96.870,96.900,,
6% 10 Year C'wlth Bonds,95.905,95.905,95.835,95.890,95.915,,
,
