Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-25T13:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,,
Volume,,
Futures,"384,509","405,463","402,469","391,176","347,211",,
Options,"11,884","11,002","20,404","11,138","14,170",,
TOTAL,"396,393","416,465","422,873","402,314","361,381",,
Value ($'000),,
Futures,"143,625,057","135,435,443","154,094,138","155,175,684","138,074,492",,
Options,"1,247,503","1,151,806","2,098,645","1,217,613","1,536,604",,
TOTAL,"144,872,559","136,587,249","156,192,784","156,393,297","139,611,096",,
Spot Month Movement:,,
SPI 200,5306.0,5311.0,5377.0,5372.0,5404.0,,
90 Day Bank Bills,97.330,97.330,97.320,97.310,97.310,,
6% 3 Year C'wlth Bonds,97.400,97.490,97.440,97.440,97.430,,
6% 10 Year C'wlth Bonds,96.670,96.785,96.715,96.720,96.705,,
,
