Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-07-03T16:00:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 27,Jun 28,Jun 29,Jun 30,Jul 1,,
Volume,,
Futures,"455,471","454,364","506,583","542,101","408,493",,
Options,"11,677","26,358","19,904","48,295","17,696",,
TOTAL,"467,148","480,722","526,487","590,396","426,189",,
Value ($'000),,
Futures,"287,046,077","282,049,788","286,278,412","228,894,627","223,077,400",,
Options,"4,772,324","2,643,327","2,977,157","7,555,453","1,782,057",,
TOTAL,"291,818,400","284,693,114","289,255,569","236,450,080","224,859,457",,
Spot Month Movement:,,
SPI 200,4442.0,4470.0,4519.0,4601.0,4586.0,,
90 Day Bank Bills,95.260,95.230,95.170,95.150,95.110,,
6% 3 Year C'wlth Bonds,95.480,95.420,95.280,95.220,95.140,,
6% 10 Year C'wlth Bonds,95.000,94.930,94.805,94.785,94.715,,
,
