Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2012-06-11T17:30:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 4,Jun 5,Jun 6,Jun 7,Jun 8,,
Volume,,
Futures,"477,071","574,466","596,113","574,568","570,060",,
Options,"10,794","7,739","11,382","10,575","8,146",,
TOTAL,"487,865","582,205","607,495","585,143","578,206",,
Value ($'000),,
Futures,"298,259,150","424,735,150","349,466,104","276,232,007","227,105,112",,
Options,"1,076,587","864,004","1,149,772","1,065,318","815,330",,
TOTAL,"299,335,737","425,599,154","350,615,876","277,297,325","227,920,442",,
Spot Month Movement:,,
SPI 200,3997.0,4054.0,4062.0,4118.0,4072.0,,
90 Day Bank Bills,96.770,96.590,96.560,96.430,96.430,,
6% 3 Year C'wlth Bonds,98.040,97.810,97.710,97.590,97.660,,
6% 10 Year C'wlth Bonds,97.290,97.115,97.050,96.975,97.015,,
,
