Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-07-04T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 29,Jun 30,Jul 1,Jul 2,Jul 3,,
Volume,,
Futures,"514,964","501,365","383,807","355,073","359,457",,
Options,"1,896","5,614","3,347","1,246","7,081",,
TOTAL,"516,860","506,979","387,154","356,319","366,538",,
Value ($'000),,
Futures,"203,772,008","170,513,958","135,417,390","123,511,376","135,248,504",,
Options,"198,968","564,249","379,637","167,464","776,045",,
TOTAL,"203,970,976","171,078,207","135,797,027","123,678,841","136,024,549",,
Spot Month Movement:,,
SPI 200,5379.0,5397.0,5478.0,5543.0,5487.0,,
90 Day Bank Bills,97.900,97.890,97.890,97.890,97.900,,
6% 3 Year C'wlth Bonds,97.960,97.920,97.940,97.870,97.920,,
6% 10 Year C'wlth Bonds,97.0050,96.9500,96.9450,96.8450,96.8850,,
,
