Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-09-12T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 7,Sep 8,Sep 9,Sep 10,Sep 11,,
Volume,,
Futures,"335,274","303,705","1,233,842","1,565,907","1,503,290",,
Options,"5,996","2,928","4,705","6,389","4,130",,
TOTAL,"341,270","306,633","1,238,547","1,572,296","1,507,420",,
Value ($'000),,
Futures,"134,022,919","157,829,336","332,125,624","272,841,571","256,136,486",,
Options,"649,492","294,085","624,517","722,773","458,281",,
TOTAL,"134,672,412","158,123,420","332,750,141","273,564,344","256,594,767",,
Spot Month Movement:,,
SPI 200,5022.0,5100.0,5215.0,5078.0,5068.0,,
90 Day Bank Bills,97.880,97.870,97.830,97.830,97.830,,
6% 3 Yr C'wlth Bonds,98.220,98.200,98.135,98.125,98.100,,
6% 10 Yr C'wlth Bonds,97.3100,97.3050,97.2325,97.2600,97.2325,,
,
