Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-04-07T19:30:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 1,Apr 2,Apr 3,Apr 4,Apr 5,,
Volume,,
Futures,Closed,"390,351","316,335","441,546","524,441",,
Options, –,"6,456","15,381","18,662","36,899",,
TOTAL, –,"396,807","331,716","460,208","561,340",,
Value ($'000),,
Futures, –,"233,692,942","111,058,123","175,435,658","187,608,053",,
Options, –,"647,691","1,541,643","1,876,293","3,698,966",,
TOTAL, –,"234,340,634","112,599,766","177,311,951","191,307,019",,
Spot Month Movement:,,
SPI 200, –,4976.0,4954.0,4912.0,4895.0,,
90 Day Bank Bills, –,96.980,96.970,96.970,96.970,,
6% 3 Year C'wlth Bonds, –,97.120,97.080,97.120,97.170,,
6% 10 Year C'wlth Bonds, –,96.590,96.555,96.590,96.685,,
,
