Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-10-09T16:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 3,Oct 4,Oct 5,Oct 6,Oct 7,,
Volume,,
Futures,"123,440","369,388","369,512","235,880","281,082",,
Options,627,"2,349","7,266","11,706","9,658",,
TOTAL,"124,067","371,737","376,778","247,586","290,740",,
Value ($'000),,
Futures,"64,995,276","247,924,863","154,879,990","104,509,263","102,702,257",,
Options,"62,343","233,836","721,386","1,201,411","999,369",,
TOTAL,"65,057,619","248,158,699","155,601,376","105,710,674","103,701,626",,
Spot Month Movement:,,
SPI 200,3888.0,3896.0,3935.0,4065.0,4176.0,,
90 Day Bank Bills,95.730,95.860,95.810,95.740,95.680,,
6% 3 Year C'wlth Bonds,96.470,96.610,96.570,96.480,96.410,,
6% 10 Year C'wlth Bonds,95.885,95.985,95.910,95.815,95.735,,
,
