Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-08-30T13:30:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,,
Volume,,
Futures,"275,404","332,884","383,058","336,905","300,947",,
Options,"13,853","9,958","13,875","18,285","12,435",,
TOTAL,"289,257","342,842","396,933","355,190","313,382",,
Value ($'000),,
Futures,"70,491,627","127,004,978","150,461,245","127,734,930","82,170,404",,
Options,"1,435,508","1,014,551","1,453,037","1,914,884","1,288,333",,
TOTAL,"71,927,134","128,019,529","151,914,282","129,649,813","83,458,737",,
Spot Month Movement:,,
SPI 200,5600.0,5596.0,5629.0,5609.0,5615.0,,
90 Day Bank Bills,97.380,97.380,97.380,97.380,97.380,,
6% 3 Year C'wlth Bonds,97.310,97.360,97.380,97.360,97.370,,
6% 10 Year C'wlth Bonds,96.575,96.655,96.680,96.685,96.715,,
,
