Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-10-18T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 13,Oct 14,Oct 15,Oct 16,Oct 17,,
Volume,,
Futures,"434,544","396,014","707,805","920,469","617,989",,
Options,"13,581","19,152","18,949","16,818","8,448",,
TOTAL,"448,125","415,166","726,754","937,287","626,437",,
Value ($'000),,
Futures,"174,313,376","158,522,725","260,940,620","316,551,659","227,729,526",,
Options,"1,459,665","2,002,303","2,034,520","1,814,273","918,448",,
TOTAL,"175,773,041","160,525,028","262,975,141","318,365,933","228,647,973",,
Spot Month Movement:,,
SPI 200,5137.0,5179.0,5221.0,5232.0,5237.0,,
90 Day Bank Bills,97.330,97.340,97.340,97.350,97.340,,
6% 3 Year C'wlth Bonds,97.430,97.430,97.380,97.490,97.450,,
6% 10 Year C'wlth Bonds,96.675,96.665,96.630,96.785,96.755,,
,
