Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-03-25T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,,
Volume,,
Futures,"211,886","293,234","298,524","372,391","291,831",,
Options,"15,750","9,967","10,816","19,160","14,465",,
TOTAL,"227,636","303,201","309,340","391,551","306,296",,
Value ($'000),,
Futures,"73,887,250","96,740,655","103,877,147","139,682,236","87,268,005",,
Options,"1,581,358","1,056,841","1,085,361","1,924,681","1,536,027",,
TOTAL,"75,468,607","97,797,496","104,962,508","141,606,917","88,804,032",,
Spot Month Movement:,,
SPI 200,4313.0,4284.0,4264.0,4295.0,4285.0,,
90 Day Bank Bills,95.700,95.720,95.730,95.760,95.770,,
6% 3 Year C'wlth Bonds,96.200,96.230,96.240,96.300,96.330,,
6% 10 Year C'wlth Bonds,95.680,95.675,95.660,95.725,95.760,,
,
