Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-04-26T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 21,Apr 22,Apr 23,Apr 24,Apr 25,,
Volume,,
Futures,Closed,"167,698","553,406","302,823","91,979",,
Options,–,"13,596","21,193","9,313",n/a,,
TOTAL,–,"181,294","574,599","312,136","91,979",,
Value ($'000),,
Futures,Closed,"66,455,590","236,642,520","119,747,339","28,957,867",,
Options,–,"1,397,559","2,168,141","1,007,493",n/a,,
TOTAL,–,"67,853,148","238,810,661","120,754,832","28,957,867",,
Spot Month Movement:,,
SPI 200,Closed,5472.0,5509.0,5523.0,5530.0,,
90 Day Bank Bills,–,97.350,97.360,97.360,97.360,,
6% 3 Year C'wlth Bonds,–,96.990,97.050,97.070,97.080,,
6% 10 Year C'wlth Bonds,–,95.995,96.040,96.045,96.065,,
,
