Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-01-11T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 6,Jan 7,Jan 8,Jan 9,Jan 10,,
Volume,,
Futures,"268,622","239,684","219,279","319,893","223,103",,
Options,"7,884","4,243","25,626","9,761","23,971",,
TOTAL,"276,506","243,927","244,905","329,654","247,074",,
Value ($'000),,
Futures,"111,408,773","89,421,316","71,705,550","116,663,666","85,236,364",,
Options,"915,465","491,893","2,631,224","1,080,518","2,436,035",,
TOTAL,"112,324,237","89,913,209","74,336,774","117,744,184","87,672,399",,
Spot Month Movement:,,
SPI 200,5304.0,5295.0,5287.0,5293.0,5290.0,,
90 Day Bank Bills,97.400,97.400,97.400,97.400,97.400,,
6% 3 Year C'wlth Bonds,96.920,96.960,96.970,96.910,96.940,,
6% 10 Year C'wlth Bonds,95.670,95.730,95.750,95.730,95.785,,
,
