Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-04-22T16:30:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 16,Apr 17,Apr 18,Apr 19,Apr 20,,
Volume,,
Futures,"285,697","247,526","235,232","268,684","211,902",,
Options,"18,063","20,759","15,142","25,936","13,582",,
TOTAL,"303,760","268,285","250,374","294,620","225,484",,
Value ($'000),,
Futures,"152,002,455","114,692,360","87,525,718","112,329,297","97,967,097",,
Options,"1,819,136","2,086,404","1,529,165","2,643,449","1,377,382",,
TOTAL,"153,821,591","116,778,764","89,054,883","114,972,746","99,344,479",,
Spot Month Movement:,,
SPI 200,4303.0,4291.0,4361.0,4372.0,4368.0,,
90 Day Bank Bills,95.970,95.990,95.980,95.990,95.980,,
6% 3 Year C'wlth Bonds,96.830,96.840,96.770,96.790,96.790,,
6% 10 Year C'wlth Bonds,96.255,96.260,96.190,96.230,96.220,,
,
