Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-12-06T13:45:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Dec 1,Dec 2,Dec 3,Dec 4,Dec 5,,
Volume,,
Futures,"454,236","688,074","621,226","535,365","542,680",,
Options,"10,072","17,911","15,561","8,769","10,953",,
TOTAL,"464,308","705,985","636,787","544,134","553,633",,
Value ($'000),,
Futures,"232,473,092","445,954,473","364,201,188","283,078,588","244,673,852",,
Options,"1,054,823","1,926,875","1,627,729","934,282","1,139,319",,
TOTAL,"233,527,915","447,881,348","365,828,917","284,012,870","245,813,172",,
Spot Month Movement:,,
SPI 200,5212.0,5290.0,5336.0,5372.0,5333.0,,
90 Day Bank Bills,97.260,97.250,97.270,97.270,97.290,,
6% 3 Year C'wlth Bonds,97.650,97.570,97.630,97.640,97.690,,
6% 10 Year C'wlth Bonds,96.9800,96.8650,96.8750,96.9050,96.9350,,
,
