Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-07-26T13:45:00+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 21,Jul 22,Jul 23,Jul 24,Jul 25,,
Volume,,
Futures,"271,248","374,427","584,506","438,755","258,812",,
Options,"11,007","18,200","24,026","12,206","14,035",,
TOTAL,"282,255","392,627","608,532","450,961","272,847",,
Value ($'000),,
Futures,"97,465,358","158,057,110","309,379,428","173,645,519","75,935,651",,
Options,"1,141,333","1,885,717","2,556,376","1,355,360","1,492,181",,
TOTAL,"98,606,692","159,942,827","311,935,804","175,000,879","77,427,831",,
Spot Month Movement:,,
SPI 200,5500.0,5495.0,5527.0,5532.0,5530.0,,
90 Day Bank Bills,97.400,97.390,97.380,97.370,97.370,,
6% 3 Year C'wlth Bonds,97.430,97.420,97.370,97.340,97.340,,
6% 10 Year C'wlth Bonds,96.615,96.635,96.595,96.580,96.565,,
,
