Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-11-07T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 2,Nov 3,Nov 4,Nov 5,Nov 6,,
Volume,,
Futures,"278,679","517,818","370,093","616,577","500,532",,
Options,"2,580","22,262","6,741","14,343","7,700",,
TOTAL,"281,259","540,080","376,834","630,920","508,232",,
Value ($'000),,
Futures,"152,611,082","375,137,718","192,647,547","273,332,174","208,681,919",,
Options,"272,266","2,595,241","720,944","1,478,648","757,058",,
TOTAL,"152,883,348","377,732,959","193,368,491","274,810,823","209,438,977",,
Spot Month Movement:,,
SPI 200,5130.0,5229.0,5217.0,5186.0,5222.0,,
90 Day Bank Bills,98.010,97.920,97.910,97.890,97.870,,
6% 3 Yr C'wlth Bonds,98.220,98.150,98.130,98.070,98.050,,
6% 10 Yr C'wlth Bonds,97.3500,97.2900,97.2400,97.1850,97.1800,,
,
