Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-02-13T16:30:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,,
Volume,,
Futures,"323,217","311,957","313,949","304,700","427,724",,
Options,"30,246","15,281","17,536","20,455","20,602",,
TOTAL,"353,463","327,238","331,485","325,155","448,326",,
Value ($'000),,
Futures,"136,040,710","135,583,119","116,471,923","110,787,586","242,693,380",,
Options,"3,065,962","1,626,820","1,777,443","2,101,163","2,077,304",,
TOTAL,"139,106,671","137,209,939","118,249,366","112,888,749","244,770,684",,
Spot Month Movement:,,
SPI 200,4847.0,4869.0,4875.0,4888.0,4852.0,,
90 Day Bank Bills,95.030,95.030,95.020,95.020,95.040,,
6% 3 Year C'wlth Bonds,94.650,94.640,94.630,94.680,94.740,,
6% 10 Year C'wlth Bonds,94.255,94.245,94.235,94.275,94.295,,
,
