Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2013-03-17T20:30:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,,
Volume,,
Futures,"543,734","832,485","1,347,172","1,526,904","757,303",,
Options,"21,637","22,567","18,313","24,501","31,602",,
TOTAL,"565,371","855,052","1,365,485","1,551,405","788,905",,
Value ($'000),,
Futures,"227,654,314","297,566,353","265,486,006","429,298,298","260,999,913",,
Options,"2,171,379","2,266,244","1,908,501","2,492,557","3,211,558",,
TOTAL,"229,825,692","299,832,597","267,394,507","431,790,854","264,211,471",,
Spot Month Movement:,,
SPI 200,5154.0,5114.0,5099.0,5030.0,5122.0,,
90 Day Bank Bills,97.070,97.050,97.050,96.950,96.960,,
6% 3 Year C'wlth Bonds,97.025,96.985,97.010,96.835,96.860,,
6% 10 Year C'wlth Bonds,96.445,96.405,96.445,96.335,96.370,,
,
