Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-08T14:15:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 3,Nov 4,Nov 5,Nov 6,Nov 7,,
Volume,,
Futures,"453,639","383,136","306,052","383,675","370,289",,
Options,"8,079","12,404","12,427","12,738","14,194",,
TOTAL,"461,718","395,540","318,479","396,413","384,483",,
Value ($'000),,
Futures,"169,748,870","164,066,318","90,149,484","148,229,795","133,377,908",,
Options,"969,289","1,327,426","1,308,871","1,324,131","1,481,138",,
TOTAL,"170,718,158","165,393,744","91,458,355","149,553,926","134,859,046",,
Spot Month Movement:,,
SPI 200,5493.0,5507.0,5504.0,5495.0,5553.0,,
90 Day Bank Bills,97.300,97.290,97.290,97.280,97.260,,
6% 3 Year C'wlth Bonds,97.470,97.430,97.460,97.460,97.390,,
6% 10 Year C'wlth Bonds,96.710,96.660,96.695,96.735,96.625,,
,
