Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2010-11-28T16:47:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 22,Nov 23,Nov 24,Nov 25,Nov 26,,
Volume,,
Futures,"169,302","204,694","336,386","252,468","247,150",,
Options,"11,548","8,466","21,237","8,937","6,236",,
TOTAL,"180,850","213,160","357,623","261,405","253,386",,
Value ($'000),,
Futures,"68,593,086","71,585,649","179,365,630","112,318,498","166,462,830",,
Options,"1,170,144","870,276","3,987,859","923,803","643,565",,
TOTAL,"69,763,229","72,455,925","183,353,489","113,242,300","167,106,395",,
Spot Month Movement:,,
SPI 200,4665.0,4605.0,4586.0,4595.0,4597.0,,
90 Day Bank Bills,94.970,94.970,94.970,94.960,94.970,,
6% 3 Year C'wlth Bonds,94.780,94.840,94.840,94.800,94.860,,
6% 10 Year C'wlth Bonds,94.475,94.550,94.525,94.455,94.490,,
,
