Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2014-11-22T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 17,Nov 18,Nov 19,Nov 20,Nov 21,,
Volume,,
Futures,"291,362","315,468","367,892","255,893","237,922",,
Options,"8,620","8,874","11,783","11,357","11,559",,
TOTAL,"299,982","324,342","379,675","267,250","249,481",,
Value ($'000),,
Futures,"93,781,492","129,919,457","160,233,154","104,456,728","100,967,450",,
Options,"933,005","942,003","1,283,528","1,180,465","1,315,021",,
TOTAL,"94,714,497","130,861,460","161,516,682","105,637,193","102,282,471",,
Spot Month Movement:,,
SPI 200,5426.0,5414.0,5375.0,5317.0,5308.0,,
90 Day Bank Bills,97.240,97.250,97.260,97.260,97.260,,
6% 3 Year C'wlth Bonds,97.420,97.420,97.440,97.450,97.450,,
6% 10 Year C'wlth Bonds,96.720,96.695,96.705,96.705,96.715,,
,
