Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-04-18T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,,
Volume,,
Futures,"332,294","326,041","348,370","560,944","427,234",,
Options,"10,689","4,211","12,283","9,635","4,860",,
TOTAL,"342,983","330,252","360,653","570,579","432,094",,
Value ($'000),,
Futures,"167,036,983","153,566,972","173,086,764","319,661,498","199,616,054",,
Options,"1,078,216","423,995","1,285,528","976,413","488,380",,
TOTAL,"168,115,199","153,990,967","174,372,292","320,637,911","200,104,434",,
Spot Month Movement:,,
SPI 200,5950.0,5938.0,5899.0,5944.0,5865.0,,
90 Day Bank Bills,97.930,97.940,97.940,97.880,97.870,,
6% 3 Year C'wlth Bonds,98.310,98.340,98.360,98.240,98.240,,
6% 10 Year C'wlth Bonds,97.6600,97.6950,97.7200,97.6350,97.6500,,
,
