Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-09-14T14:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 9,Sep 10,Sep 11,Sep 12,Sep 13,,
Volume,,
Futures,"371,588","587,310","913,866","1,711,074","1,560,584",,
Options,"26,146","9,653","12,386","11,357","13,994",,
TOTAL,"397,734","596,963","926,252","1,722,431","1,574,578",,
Value ($'000),,
Futures,"169,543,771","227,174,655","294,239,552","383,354,696","278,823,688",,
Options,"2,704,047","1,035,058","1,351,377","1,133,176","1,540,795",,
TOTAL,"172,247,819","228,209,714","295,590,929","384,487,872","280,364,483",,
Spot Month Movement:,,
SPI 200,5192.0,5206.0,5231.0,5239.0,5228.0,,
90 Day Bank Bills,97.410,97.390,97.410,97.410,97.410,,
6% 3 Year C'wlth Bonds,97.040,96.960,96.955,97.070,97.025,,
6% 10 Year C'wlth Bonds,95.930,95.875,95.835,95.965,95.905,,
,
