Last Week SFE ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Monday at 2010-11-22T13:30:15+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 15,Nov 16,Nov 17,Nov 18,Nov 19,,
Volume,,
Futures,"323,639","277,299","309,246","214,741","261,559",,
Options,"12,951","19,557","18,933","13,978","9,724",,
TOTAL,"336,590","296,856","328,179","228,719","271,283",,
Value ($'000),,
Futures,"132,603,575","112,490,197","126,935,154","105,719,693","119,964,003",,
Options,"1,369,923","2,036,040","1,988,728","1,473,555","975,238",,
TOTAL,"133,973,497","114,526,237","128,923,882","107,193,247","120,939,241",,
Spot Month Movement:,,
SPI 200,4707.0,4713.0,4636.0,4654.0,4649.0,,
90 Day Bank Bills,94.960,94.970,94.970,94.970,94.970,,
6% 3 Year C'wlth Bonds,94.850,94.870,94.870,94.820,94.810,,
6% 10 Year C'wlth Bonds,94.570,94.570,94.545,94.500,94.490,,
,
