Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-05-09T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,May 4,May 5,May 6,May 7,May 8,,
Volume,,
Futures,"427,118","904,234","927,776","723,511","575,013",,
Options,"12,975","13,233","16,139","16,670","13,077",,
TOTAL,"440,093","917,467","943,915","740,181","588,090",,
Value ($'000),,
Futures,"285,000,001","667,491,751","383,415,868","256,364,130","174,895,334",,
Options,"1,324,001","1,323,547","1,676,968","1,690,925","1,328,413",,
TOTAL,"286,324,002","668,815,298","385,092,836","258,055,055","176,223,747",,
Spot Month Movement:,,
SPI 200,5806.0,5804.0,5655.0,5617.0,5602.0,,
90 Day Bank Bills,97.900,97.880,97.860,97.870,97.870,,
6% 3 Year C'wlth Bonds,98.090,97.980,97.880,97.860,97.920,,
6% 10 Year C'wlth Bonds,97.3100,97.2050,97.0750,97.0100,97.1600,,
,
