Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-09-07T16:45:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 2,Sep 3,Sep 4,Sep 5,Sep 6,,
Volume,,
Futures,"261,119","496,552","692,039","523,423","509,539",,
Options,"14,001","18,900","15,495","13,215","18,572",,
TOTAL,"275,120","515,452","707,534","536,638","528,111",,
Value ($'000),,
Futures,"122,882,536","281,809,362","336,823,610","214,979,048","203,665,747",,
Options,"1,458,555","2,026,053","1,578,382","1,366,882","1,946,264",,
TOTAL,"124,341,091","283,835,415","338,401,992","216,345,930","205,612,011",,
Spot Month Movement:,,
SPI 200,5184.0,5190.0,5156.0,5138.0,5145.0,,
90 Day Bank Bills,97.440,97.430,97.420,97.410,97.400,,
6% 3 Year C'wlth Bonds,97.190,97.130,97.060,97.020,96.980,,
6% 10 Year C'wlth Bonds,96.045,96.005,95.980,95.930,95.860,,
,
