Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-08-21T16:00:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 15,Aug 16,Aug 17,Aug 18,Aug 19,,
Volume,,
Futures,"252,765","440,409","400,396","332,757","449,270",,
Options,"2,430","3,814","9,936","8,169","11,768",,
TOTAL,"255,195","444,223","410,332","340,926","461,038",,
Value ($'000),,
Futures,"111,296,571","221,641,493","166,261,822","130,741,125","172,291,681",,
Options,"259,461","418,773","1,073,193","844,045","1,182,136",,
TOTAL,"111,556,032","222,060,266","167,335,015","131,585,171","173,473,818",,
Spot Month Movement:,,
SPI 200,4270.0,4228.0,4272.0,4219.0,4069.0,,
90 Day Bank Bills,95.420,95.450,95.410,95.390,95.420,,
6% 3 Year C'wlth Bonds,96.090,96.160,96.190,96.310,96.430,,
6% 10 Year C'wlth Bonds,95.450,95.495,95.510,95.640,95.775,,
,
