Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2013-06-29T19:15:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jun 24,Jun 25,Jun 26,Jun 27,Jun 28,,
Volume,,
Futures,"749,205","855,534","522,125","440,406","418,318",,
Options,"16,224","11,326","20,951","12,136","18,393",,
TOTAL,"765,429","866,860","543,076","452,542","436,711",,
Value ($'000),,
Futures,"338,076,022","421,424,388","236,276,204","207,561,708","219,489,676",,
Options,"1,629,645","1,147,345","2,114,816","1,294,244","1,970,475",,
TOTAL,"339,705,666","422,571,733","238,391,020","208,855,952","221,460,150",,
Spot Month Movement:,,
SPI 200,4633.0,4644.0,4704.0,4774.0,4769.0,,
90 Day Bank Bills,97.260,97.290,97.290,97.330,97.340,,
6% 3 Year C'wlth Bonds,96.950,97.100,97.080,97.150,97.220,,
6% 10 Year C'wlth Bonds,95.940,96.180,96.140,96.165,96.225,,
,
