Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-02-21T13:45:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,,
Volume,,
Futures,"239,347","365,338","387,869","375,531","260,135",,
Options,"4,182","9,714","15,138","12,166","5,906",,
TOTAL,"243,529","375,052","403,007","387,697","266,041",,
Value ($'000),,
Futures,"102,142,316","230,346,433","140,648,405","154,152,538","114,959,052",,
Options,"451,688","1,046,460","1,717,329","1,333,593","634,558",,
TOTAL,"102,594,004","231,392,893","142,365,735","155,486,130","115,593,609",,
Spot Month Movement:,,
SPI 200,5822.0,5820.0,5875.0,5868.0,5845.0,,
90 Day Bank Bills,97.760,97.730,97.720,97.730,97.730,,
6% 3 Year C'wlth Bonds,98.140,98.150,98.120,98.170,98.150,,
6% 10 Year C'wlth Bonds,97.4850,97.5100,97.4350,97.4950,97.4700,,
,
