Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-11-21T13:30:00+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 16,Nov 17,Nov 18,Nov 19,Nov 20,,
Volume,,
Futures,"485,832","378,116","318,781","328,574","414,216",,
Options,"3,188","4,870","8,453","9,982","2,277",,
TOTAL,"489,020","382,986","327,234","338,556","416,493",,
Value ($'000),,
Futures,"217,768,995","135,475,809","95,115,128","104,411,767","106,579,327",,
Options,"319,282","503,034","956,892","1,128,853","261,697",,
TOTAL,"218,088,277","135,978,843","96,072,020","105,540,620","106,841,024",,
Spot Month Movement:,,
SPI 200,4994.0,5124.0,5131.0,5256.0,5264.0,,
90 Day Bank Bills,97.810,97.800,97.800,97.790,97.790,,
6% 3 Yr C'wlth Bonds,97.910,97.870,97.890,97.870,97.860,,
6% 10 Yr C'wlth Bonds,97.0700,97.0500,97.0750,97.0500,97.0650,,
,
