Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-08-08T13:30:01+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 3,Aug 4,Aug 5,Aug 6,Aug 7,,
Volume,,
Futures,"230,549","511,733","418,796","415,324","316,961",,
Options,828,"10,787","12,829","7,773","8,633",,
TOTAL,"231,377","522,520","431,625","423,097","325,594",,
Value ($'000),,
Futures,"95,572,277","380,153,760","149,219,593","149,287,878","114,451,667",,
Options,"108,079","1,100,343","1,345,679","778,232","860,422",,
TOTAL,"95,680,355","381,254,103","150,565,272","150,066,110","115,312,089",,
Spot Month Movement:,,
SPI 200,5613.0,5639.0,5612.0,5528.0,5405.0,,
90 Day Bank Bills,97.910,97.890,97.880,97.880,97.880,,
6% 3 Yr C'wlth Bonds,98.110,98.080,98.020,98.020,98.010,,
6% 10 Yr C'wlth Bonds,97.2100,97.2300,97.1600,97.1400,97.1200,,
,
