Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Saturday at 2015-02-28T14:00:01+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,,
Volume,,
Futures,"337,080","261,751","350,675","420,041","448,132",,
Options,"6,720","5,470","11,678","13,549","10,316",,
TOTAL,"343,800","267,221","362,353","433,590","458,448",,
Value ($'000),,
Futures,"132,988,913","110,001,901","164,638,821","233,624,553","226,243,903",,
Options,"699,546","646,870","1,230,567","1,545,147","1,046,248",,
TOTAL,"133,688,460","110,648,771","165,869,387","235,169,700","227,290,151",,
Spot Month Movement:,,
SPI 200,5862.0,5885.0,5922.0,5878.0,5914.0,,
90 Day Bank Bills,97.730,97.720,97.710,97.740,97.760,,
6% 3 Year C'wlth Bonds,98.140,98.150,98.160,98.220,98.230,,
6% 10 Year C'wlth Bonds,97.4600,97.4950,97.5400,97.6200,97.5800,,
,
