Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-07-31T16:00:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,,
Volume,,
Futures,"283,237","381,466","737,904","545,939","494,271",,
Options,"10,614","23,062","25,341","20,627","14,140",,
TOTAL,"293,851","404,528","763,245","566,566","508,411",,
Value ($'000),,
Futures,"120,844,101","163,363,552","590,249,701","396,354,860","325,875,921",,
Options,"1,089,440","3,031,334","7,936,962","5,870,029","1,443,840",,
TOTAL,"121,933,541","166,394,886","598,186,664","402,224,890","327,319,761",,
Spot Month Movement:,,
SPI 200,4513.0,4542.0,4512.0,4431.0,4377.0,,
90 Day Bank Bills,95.170,95.150,95.050,95.010,95.030,,
6% 3 Year C'wlth Bonds,95.620,95.590,95.470,95.480,95.610,,
6% 10 Year C'wlth Bonds,95.080,95.060,95.020,95.095,95.195,,
,
