Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-01-23T16:00:02+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Jan 17,Jan 18,Jan 19,Jan 20,Jan 21,,
Volume,,
Futures,"204,327","148,790","316,193","204,289","267,076",,
Options,"6,056","5,296","17,107","6,159","15,554",,
TOTAL,"210,383","154,086","333,300","210,448","282,630",,
Value ($'000),,
Futures,"77,828,514","64,990,874","84,493,815","90,041,666","108,345,538",,
Options,"794,800","557,995","10,753,017","692,551","1,652,818",,
TOTAL,"78,623,314","65,548,869","95,246,831","90,734,217","109,998,356",,
Spot Month Movement:,,
SPI 200,4745.0,4779.0,4828.0,4770.0,4736.0,,
90 Day Bank Bills,95.000,95.020,95.010,95.020,95.000,,
6% 3 Year C'wlth Bonds,94.860,94.870,94.800,94.850,94.780,,
6% 10 Year C'wlth Bonds,94.445,94.455,94.355,94.425,94.330,,
,
