Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-09-11T16:30:02+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Sep 5,Sep 6,Sep 7,Sep 8,Sep 9,,
Volume,,
Futures,"309,014","370,501","464,366","390,217","246,445",,
Options,"5,513","8,349","7,218","7,569","9,264",,
TOTAL,"314,527","378,850","471,584","397,786","255,709",,
Value ($'000),,
Futures,"141,341,564","265,902,583","259,449,755","186,478,887","81,293,644",,
Options,"643,525","874,019","792,867","756,944","936,332",,
TOTAL,"141,985,088","266,776,602","260,242,622","187,235,831","82,229,976",,
Spot Month Movement:,,
SPI 200,4145.0,4068.0,4196.0,4187.0,4176.0,,
90 Day Bank Bills,95.260,95.220,95.180,95.210,95.210,,
6% 3 Year C'wlth Bonds,96.310,96.340,96.190,96.300,96.260,,
6% 10 Year C'wlth Bonds,95.755,95.785,95.665,95.740,95.730,,
,
