Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-10-07T20:00:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Oct 1,Oct 2,Oct 3,Oct 4,Oct 5,,
Volume,,
Futures,"171,623","431,643","424,437","368,118","278,947",,
Options,"12,221","6,702","11,156","19,382","11,966",,
TOTAL,"183,844","438,345","435,593","387,500","290,913",,
Value ($'000),,
Futures,"87,248,790","315,297,487","186,195,697","159,288,331","100,926,876",,
Options,"1,222,465","698,144","1,131,306","2,028,624","2,108,650",,
TOTAL,"88,471,255","315,995,631","187,327,003","161,316,955","103,035,526",,
Spot Month Movement:,,
SPI 200,4394.0,4434.0,4435.0,4460.0,4492.0,,
90 Day Bank Bills,96.950,96.970,97.020,97.000,96.980,,
6% 3 Year C'wlth Bonds,97.670,97.700,97.740,97.680,97.630,,
6% 10 Year C'wlth Bonds,97.120,97.125,97.185,97.120,97.060,,
,
