Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2012-08-26T17:00:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Aug 20,Aug 21,Aug 22,Aug 23,Aug 24,,
Volume,,
Futures,"177,767","238,085","394,900","422,630","249,221",,
Options,"13,703","12,674","14,059","18,721","17,332",,
TOTAL,"191,470","250,759","408,959","441,351","266,553",,
Value ($'000),,
Futures,"70,908,348","84,486,684","138,057,201","168,759,046","88,575,314",,
Options,"1,384,093","1,368,278","1,452,268","1,899,839","1,811,324",,
TOTAL,"72,292,440","85,854,962","139,509,470","170,658,885","90,386,638",,
Spot Month Movement:,,
SPI 200,4348.0,4376.0,4361.0,4368.0,4332.0,,
90 Day Bank Bills,96.420,96.410,96.430,96.440,96.440,,
6% 3 Year C'wlth Bonds,97.170,97.150,97.240,97.340,97.360,,
6% 10 Year C'wlth Bonds,96.635,96.635,96.705,96.795,96.845,,
,
