Last Week SFE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Processed Sunday at 2011-12-04T16:00:03+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SYDNEY FUTURES EXCHANGE,
,Nov 28,Nov 29,Nov 30,Dec 1,Dec 2,,
Volume,,
Futures,"270,691","295,321","406,884","433,525","287,762",,
Options,"3,835","9,376","12,669","9,698","3,619",,
TOTAL,"274,526","304,697","419,553","443,223","291,381",,
Value ($'000),,
Futures,"138,275,058","138,748,754","156,736,402","190,935,399","138,987,647",,
Options,"384,071","941,646","1,353,592","1,038,211","397,767",,
TOTAL,"138,659,129","139,690,399","158,089,994","191,973,610","139,385,414",,
Spot Month Movement:,,
SPI 200,4078.0,4134.0,4114.0,4237.0,4298.0,,
90 Day Bank Bills,95.520,95.510,95.510,95.490,95.480,,
6% 3 Year C'wlth Bonds,96.930,96.860,96.850,96.740,96.740,,
6% 10 Year C'wlth Bonds,96.085,96.000,96.035,95.960,95.965,,
,
